Date,Close
04/01/2010,1.1166
05/01/2010,1.1121
06/01/2010,1.112
07/01/2010,1.1124
08/01/2010,1.1141
11/01/2010,1.1117
12/01/2010,1.1136
13/01/2010,1.121
14/01/2010,1.127
15/01/2010,1.1313
18/01/2010,1.1358
19/01/2010,1.1464
20/01/2010,1.153
21/01/2010,1.1508
22/01/2010,1.1413
25/01/2010,1.145
26/01/2010,1.1485
27/01/2010,1.1531
28/01/2010,1.1558
29/01/2010,1.1525
01/02/2010,1.1444
02/02/2010,1.1446
03/02/2010,1.1452
04/02/2010,1.1452
05/02/2010,1.1444
08/02/2010,1.1415
09/02/2010,1.1363
10/02/2010,1.1379
11/02/2010,1.1476
12/02/2010,1.1493
15/02/2010,1.1513
16/02/2010,1.1442
17/02/2010,1.1515
18/02/2010,1.1479
19/02/2010,1.141
22/02/2010,1.14
23/02/2010,1.1385
24/02/2010,1.1354
25/02/2010,1.1279
26/02/2010,1.1154
01/03/2010,1.1083
02/03/2010,1.1006
03/03/2010,1.1005
04/03/2010,1.1062
05/03/2010,1.1098
08/03/2010,1.1039
09/03/2010,1.1033
10/03/2010,1.0955
11/03/2010,1.1001
12/03/2010,1.1033
15/03/2010,1.1018
16/03/2010,1.1042
17/03/2010,1.1133
18/03/2010,1.1208
19/03/2010,1.1098
22/03/2010,1.1138
23/03/2010,1.1133
24/03/2010,1.1173
25/03/2010,1.1153
26/03/2010,1.1125
29/03/2010,1.1121
30/03/2010,1.1254
31/03/2010,1.1208
01/04/2010,1.1288
06/04/2010,1.1358
07/04/2010,1.1395
08/04/2010,1.1414
09/04/2010,1.142
12/04/2010,1.131
13/04/2010,1.133
14/04/2010,1.1345
15/04/2010,1.1425
16/04/2010,1.1405
19/04/2010,1.1363
20/04/2010,1.1407
21/04/2010,1.1501
22/04/2010,1.1567
23/04/2010,1.1492
26/04/2010,1.1606
27/04/2010,1.1522
28/04/2010,1.1513
29/04/2010,1.1535
30/04/2010,1.1515
04/05/2010,1.1597
05/05/2010,1.1748
06/05/2010,1.178
07/05/2010,1.1604
10/05/2010,1.1675
11/05/2010,1.1716
12/05/2010,1.1718
13/05/2010,1.1681
14/05/2010,1.1714
17/05/2010,1.1699
18/05/2010,1.1667
19/05/2010,1.1644
